unit,tra_meas,airp_pr,from,to,codes,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
PAS,PAS_CRD,UK_EGPF_UK_EGSS,Glasgow,London,,653042,533581,304161,308794,331408,342162,300774,305060,358644,447897,461235,434032,394975,376436,332517,285472,,163860,175879,,,,,
PAS,PAS_CRD,UK_EGSS_UK_EGPF,London,Glasgow,,652497,533504,304269,308786,331755,343513,302275,305010,358905,448171,461408,436393,396534,377750,334497,287301,,163316,174831,,,,,
PAS,PAS_CRD,UK_EGPH_NL_EHAM,Edinburgh,Amsterdam,,651144,621273,601365,562394,566926,559255,494752,452203,465508,502465,456936,417101,460984,474334,457504,447673,287902,252629,242434,221072,157558,116921,105230,82517
PAS,PAS_CRD,UK_EGLL_US_KATL,London,Atlanta,,638995,611750,563480,540054,451920,351845,292299,250299,97368,,,,,,,,,,,,,,,
PAS,PAS_CRD,UK_EGBB_NL_EHAM,Birmingham,Amsterdam,,631646,563938,507603,459805,444191,474315,426996,411737,492655,473318,486682,428485,337536,406492,397153,392704,408056,383739,382386,318491,271174,232608,204507,174151
PAS,PAS_CRD,UK_EGLL_MY_WMKK,London,Kuala Lumpur,,622426,606746,573642,619837,486393,433198,427339,402781,400142,431446,491503,545394,544949,534871,554377,499712,586943,567956,564081,532849,497671,423907,307145,292907
PAS,PAS_CRD,UK_EGLL_IT_LIML,London,Milan,,616406,672884,692364,820004,748240,733777,647520,559465,603514,593335,604732,557344,537918,592077,585888,532655,513184,573625,946715,994892,901780,852261,767789,675960
PAS,PAS_CRD,UK_EGPF_UK_EGKK,Glasgow,London,,610511,614299,615052,608790,608512,565705,488258,513003,520614,568449,432118,372197,396994,388733,338310,358104,361080,349367,344651,,,,,
PAS,PAS_CRD,UK_EGKK_UK_EGPF,London,Glasgow,,608551,612638,613247,606702,608015,565941,488841,514457,522272,570664,433159,372242,396555,388037,338463,356450,357923,349839,344464,,,,,
PAS,PAS_CRD,UK_EGGW_NL_EHAM,London,Amsterdam,,608183,418195,378981,352415,326173,269561,234748,218767,261981,321383,355441,387412,432227,435771,487641,466823,387161,247244,197643,171342,113009,,,
PAS,PAS_CRD,UK_EGSS_IT_LIRA,London,Roma,,601009,515514,475690,400347,367181,365927,350077,377705,541235,548320,546229,559277,764536,784134,438272,216349,210318,172510,105342,,,,,
PAS,PAS_CRD,UK_EGPH_IE_EIDW,Edinburgh,Dublin,,597472,540693,478103,413042,398790,405820,375994,444621,449576,444578,418326,356525,349313,414112,509456,381141,242385,231804,189918,151648,132448,103820,77550,69746
PAS,PAS_CRD,UK_EGKK_FR_LFMN,London,Nice,,594518,649357,673586,601947,483292,323913,291683,369255,285141,367981,326007,300771,306706,268792,210737,122371,84217,,,,,,,
PAS,PAS_CRD,UK_EGPD_UK_EGLL,Edinburgh,London,,593465,726182,776810,710716,663300,650979,615905,640025,654913,658154,672642,663017,622597,506992,514185,478340,518684,489229,532156,,,,,
PAS,PAS_CRD,UK_EGLL_UK_EGPD,London,Edinburgh,,592701,726620,776782,711729,663811,652266,617521,641294,655804,658749,673114,664018,623456,507150,514703,476933,516061,489848,532421,,,,,
PAS,PAS_CRD,UK_EGKK_DE_EDDB,London,Berlin,,592439,548898,412855,375109,323658,270044,236185,193798,165254,124640,85389,,,,,,,,,,,,,
PAS,PAS_CRD,UK_EGLL_DE_EDDH,London,Hamburg,,577265,577562,549178,544271,532612,504660,475086,469978,462185,447223,458454,467321,475249,457722,457538,432293,432245,490356,500876,470541,486250,494492,500808,518187
PAS,PAS_CRD,UK_EGGW_HU_LHBP,London,Budapest,,572531,468117,428057,392041,396509,422104,334220,290314,349705,324583,297065,305361,141719,,,,,,,,,,,
PAS,PAS_CRD,UK_EGLL_BE_EBBR,London,Brussel,,571967,628148,574570,568641,547617,516632,493082,526536,616686,689237,740218,811715,854968,838337,968982,1022320,1163880,1080913,1064462,1068698,974172,964310,1008908,921421
PAS,PAS_CRD,UK_EGLL_IL_LLBG,London,Tel Aviv,,568922,584301,517478,571858,592081,557333,526886,711739,628438,545443,516782,543843,520017,482580,483083,577846,534197,492306,433565,409897,450615,465253,417975,395950
PAS,PAS_CRD,UK_EGCC_FR_LFPG,Manchester,Paris,,567928,477574,506069,504134,483979,443113,442085,444603,464533,485374,450428,457443,528997,535887,599532,554773,529410,516371,488071,445710,391664,323572,341077,314039
PAS,PAS_CRD,UK_EGLL_CA_CYVR,London,Vancouver,,567804,550641,570590,516028,535415,493292,493592,502566,520508,542154,574634,556939,505764,489753,490173,481033,498240,472972,474476,451727,477052,411837,315693,298749
PAS,PAS_CRD,UK_EGKK_IT_LIMC,London,Milan,,550415,528232,505443,483838,541517,358853,333339,313493,316490,264804,170947,,,,,119444,150543,119755,,,79976,87843,108558,121604
PAS,PAS_CRD,UK_EGGP_IE_EIDW,Liverpool,Dublin,,541866,336450,276984,272723,276592,309255,286259,283035,289740,290101,324687,328004,238616,243204,199937,169474,168989,209206,170703,171298,156924,169295,191976,206675
PAS,PAS_CRD,UK_EGLL_FR_LFMN,London,Nice,,541569,497297,440739,436404,548165,537326,466633,500856,547218,544785,501824,544233,535667,511187,504116,558118,607992,594005,570178,492060,469574,497555,503331,455528
PAS,PAS_CRD,UK_EGPH_UK_EGLC,Edinburgh,London,,528174,534048,353579,335114,324081,345416,335579,326014,374447,351814,313790,236663,193086,118542,139497,163294,132378,89830,122204,,,,,
PAS,PAS_CRD,UK_EGLC_UK_EGPH,London,Edinburgh,,527509,531358,351800,332583,321266,343946,333541,325712,370008,352469,313282,235683,192139,117613,137042,163261,132221,87952,121493,,,,,
PAS,PAS_CRD,UK_EGLC_NL_EHAM,London,Amsterdam,,516079,486998,416043,405934,386237,366429,366044,345605,324176,261940,217961,153518,118829,117539,85920,110975,132855,161916,165846,141238,48769,,,
PAS,PAS_CRD,UK_EGLL_US_KIAH,London,Houston,,515278,564467,594417,574443,554385,555763,541632,544686,349256,,,,,,,,,,,,,,,
PAS,PAS_CRD,UK_EGGW_RO_LROP,London,Bucharest,,513648,417520,340939,275144,217307,,,,,,,,,,,,,,,,,,,
PAS,PAS_CRD,UK_EGCC_PT_LPFR,Manchester,Faro,,512936,424626,394790,413913,350978,338453,278794,331765,448025,487719,478769,491443,478134,495807,463994,486289,464993,450931,430347,408381,344363,367868,379489,332452
PAS,PAS_CRD,UK_EGSS_ES_LEBL,London,Barcelona,,508228,490413,373203,219370,321486,195515,157768,156752,166226,180270,177447,173290,171086,171726,190324,181400,176326,,,,,,,
PAS,PAS_CRD,UK_EGSS_ES_LEMD,London,Madrid,,499526,453791,370248,237926,233011,229936,222994,228312,,,,,,,,,171475,78895,,,45863,44349,,
PAS,PAS_CRD,UK_EGLL_UK_EGNT,London,Newcastle,,499479,513496,478629,481307,489726,473614,424103,475428,462426,495373,478505,527482,520389,494559,464033,459660,469350,444774,437698,,,,,
PAS,PAS_CRD,UK_EGNT_UK_EGLL,Newcastle,London,,497360,510640,476639,479387,487444,471523,421721,473371,460549,493292,475536,523488,516080,490679,460998,456743,466303,442466,434680,,,,,
PAS,PAS_CRD,UK_EGLL_CN_ZBAA,London,Beijing,,494984,448316,353676,328717,296533,310758,275058,299716,288297,279086,268189,256365,216539,141739,176747,151212,146398,155564,149600,134953,97597,82130,78671,
PAS,PAS_CRD,UK_EGKK_SE_ESSA,London,Stockholm,,492461,478195,451711,392435,281181,243682,98168,,88581,,,,,,,132078,181980,187373,177629,169303,94853,111399,187710,171441
PAS,PAS_CRD,UK_EGCC_US_KMCO,Manchester,Orlando,,490439,450575,426879,335560,338256,331689,364892,380720,369470,333091,259053,249775,231803,146796,116949,169424,285047,237443,173239,269340,414605,372427,368458,498530
PAS,PAS_CRD,UK_EGSS_IT_LIME,London,Bergamo,,489080,494818,437169,373987,348078,347687,335104,332573,402648,407716,414746,309572,382058,339884,186156,,,,,,,,,
PAS,PAS_CRD,UK_EGPF_IE_EIDW,Glasgow,Dublin,,486745,448854,212103,141475,138353,132284,106924,112623,167720,169474,171137,191826,161829,182050,194938,247730,203748,198445,183796,162362,141226,119873,117111,99313
PAS,PAS_CRD,UK_EGKK_ES_GCRR,London,Lanzarote Island,,474871,426854,397267,347971,308979,316825,287104,292760,369118,367289,384963,432372,456199,485974,489821,448702,402549,360484,368896,346062,309160,309558,320034,314179
PAS,PAS_CRD,UK_EGLL_KR_RKSI,London,Seoul,,473602,456557,438679,424186,343669,311093,294457,280052,285115,288620,277674,254638,251976,225597,207316,,,,,,,,,
PAS,PAS_CRD,UK_EGAA_UK_EGGP,Belfast,Liverpool,,465543,426972,418654,414072,447484,422635,330406,397014,394569,459928,475478,524705,551655,562862,544907,446849,259526,112038,,,,,,
PAS,PAS_CRD,UK_EGLL_CN_ZSPD,London,Shanghai,,464022,431072,415786,394169,371743,351933,331756,236089,283103,347381,316795,229870,131435,,,,,,,,,,,
PAS,PAS_CRD,UK_EGGP_UK_EGAA,Liverpool,Belfast,,462519,423313,415287,410437,444456,420253,328294,391708,391882,456758,473074,521064,549795,562269,543787,445843,257699,110889,,,,,,
PAS,PAS_CRD,UK_EGLL_JP_RJTT,London,Tokyo,,458382,429905,319827,,,,,,,,,,,,,,,,,,,,,
PAS,PAS_CRD,UK_EGLL_US_KPHL,London,Philadelphia,,457612,468084,383400,386074,382135,372944,359411,341399,338334,240602,242757,261572,277752,265683,286508,274268,329212,299932,310285,326366,367505,313001,283732,197203
