unit,tra_meas,airp_pr,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
PAS,PAS_CRD,NO_ENGM_TR_LTBA,199280,221921,199333,190065,156451,103347,81838,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_UK_EGCC,103393,96778,81996,85324,77599,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_UK_EGKK,356014,365838,338163,325939,272858,256413,246872,178227,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_UK_EGLL,699206,683497,692891,684790,662354,621108,588510,605928,597914,593517,601145,508438,580074,620700,684851,:,:,:
PAS,PAS_CRD,NO_ENGM_UK_EGPH,85528,81481,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_UK_EGSS,:,:,:,:,:,:,:,:,142864,135123,128756,89845,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_US_KEWR,191711,222422,245038,243060,241577,218918,120107,101690,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_US_KJFK,114546,112588,106993,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENHD_DE_EDDW,:,:,:,:,:,:,21207,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENHD_DK_EKCH,:,31386,31755,31467,32197,:,:,:,26870,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENHD_ES_GCLP,:,:,22662,24352,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENHD_ES_LEAL,22019,21274,20261,21607,21590,26568,31228,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENHD_NO_ENBR,:,:,:,20937,:,:,:,22676,25060,38271,40388,38477,47871,51238,56160,:,:,:
PAS,PAS_CRD,NO_ENHD_NO_ENGM,450699,439060,438005,434497,423991,422632,389290,363652,357814,339731,306884,234194,256860,260953,263641,:,:,:
PAS,PAS_CRD,NO_ENHD_PL_EPGD,63652,63726,42250,38721,21768,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENHD_TR_LTAI,:,:,:,20562,:,:,:,20576,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENHD_UK_EGSS,:,23919,28862,33020,36033,35689,38563,46668,19478,20665,34055,29941,18997,38950,:,:,:,:
PAS,PAS_CRD,NO_ENHF_NO_ENHV,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11234,:,:,:
PAS,PAS_CRD,NO_ENHF_NO_ENTC,97193,94964,:,:,:,:,:,:,101935,110518,108759,86949,88731,79780,70615,:,:,:
PAS,PAS_CRD,NO_ENKB_NO_ENBR,49028,66300,71120,76582,77578,73219,71946,77885,74012,72761,64433,51920,52400,54060,58367,:,:,:
PAS,PAS_CRD,NO_ENKB_NO_ENGM,181199,193048,202248,200528,186181,178326,170048,168688,164295,161649,151524,129617,138140,133633,142626,:,:,:
PAS,PAS_CRD,NO_ENKB_NO_ENVA,:,:,:,15109,15348,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENKB_NO_ENZV,:,:,:,:,:,:,:,:,:,16649,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENKR_NO_ENGM,203632,183328,179192,174473,172418,182341,174018,166640,156917,135403,130989,99455,114390,98954,85769,:,:,:
PAS,PAS_CRD,NO_ENKR_NO_ENSS,:,:,:,:,15263,15645,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENKR_NO_ENTC,45237,62972,68744,69671,65456,48734,38431,41067,49116,51145,51504,44131,48155,64038,83943,:,:,:
